,sent,pred,actual,lab,pred_num,
0,"<|endoftext|>it 's a charming and often affecting journey .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive andTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
1,"<|endoftext|>unflinchingly bleak and desperate  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative.TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
2,"<|endoftext|>allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
3,"<|endoftext|>the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",negativeitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
4,"<|endoftext|>it 's slow -- very , very slow .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",negativeative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
5,"<|endoftext|>although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitivelyTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
6,"<|endoftext|>a sometimes tedious film .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",aative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
7,"<|endoftext|>or doing last year 's taxes with your ex-wife .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
8,"<|endoftext|>you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
9,"<|endoftext|>in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
10,"<|endoftext|>the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
11,"<|endoftext|>it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
12,"<|endoftext|>... the film suffers from a lack of humor ( something needed to balance out the violence ) ...  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
13,"<|endoftext|>we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
14,"<|endoftext|>even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
15,"<|endoftext|>a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitivelyTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
16,"<|endoftext|>the emotions are raw and will strike a nerve with anyone who 's ever had family trauma .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive andTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
17,"<|endoftext|>audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
18,"<|endoftext|>... the movie is just a plain old monster .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
19,"<|endoftext|>in its best moments , resembles a bad high school production of grease , without benefit of song .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
20,"<|endoftext|>pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
21,"<|endoftext|>the iditarod lasts for days - this just felt like it did .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
22,"<|endoftext|>holden caulfield did it better .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
23,"<|endoftext|>a delectable and intriguing thriller filled with surprises , read my lips is an original .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive andTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
24,"<|endoftext|>seldom has a movie so closely matched the spirit of a man and his work .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
25,"<|endoftext|>nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
26,"<|endoftext|>the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
27,"<|endoftext|>it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
28,"<|endoftext|>it 's a cookie-cutter movie , a cut-and-paste job .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
29,"<|endoftext|>i had to look away - this was god awful .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
30,"<|endoftext|>thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
31,"<|endoftext|>... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
32,"<|endoftext|>a gorgeous , witty , seductive movie .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
33,"<|endoftext|>if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
34,"<|endoftext|>it does n't believe in itself , it has no sense of humor ... it 's just plain bored .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
35,"<|endoftext|>a sequence of ridiculous shoot - 'em - up scenes .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
36,"<|endoftext|>the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,11,10
37,"<|endoftext|>( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
38,"<|endoftext|>as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive asTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
39,"<|endoftext|>escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitivelyTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
40,"<|endoftext|>there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
41,"<|endoftext|>this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
42,"<|endoftext|>the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
43,"<|endoftext|>holm ... embodies the character with an effortlessly regal charisma .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
44,"<|endoftext|>the title not only describes its main characters , but the lazy people behind the camera as well .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
45,"<|endoftext|>it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
46,"<|endoftext|>a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
47,"<|endoftext|>a subtle and well-crafted ( for the most part ) chiller .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive andTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
48,"<|endoftext|>has a lot of the virtues of eastwood at his best .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
49,"<|endoftext|>it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
50,"<|endoftext|>it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
51,"<|endoftext|>for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive .TheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
52,"<|endoftext|>mr. tsai is a very original artist in his medium , and what time is it there ?  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
53,"<|endoftext|>sade is an engaging look at the controversial eponymous and fiercely atheistic hero .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
54,"<|endoftext|>so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative.TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
55,"<|endoftext|>a tender , heartfelt family drama .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
56,"<|endoftext|>... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
57,"<|endoftext|>the cold turkey would 've been a far better title .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
58,"<|endoftext|>manages to be both repulsively sadistic and mundane .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
59,"<|endoftext|>it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
60,"<|endoftext|>this is a story of two misfits who do n't stand a chance alone , but together they are magnificent .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
61,"<|endoftext|>schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
62,"<|endoftext|>the primitive force of this film seems to bubble up from the vast collective memory of the combatants .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
63,"<|endoftext|>on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
64,"<|endoftext|>the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
65,"<|endoftext|>you wonder why enough was n't just a music video rather than a full-length movie .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
66,"<|endoftext|>if you 're hard up for raunchy college humor , this is your ticket right here .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
67,"<|endoftext|>a fast , funny , highly enjoyable movie .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
68,"<|endoftext|>good old-fashioned slash-and-hack is back !  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
69,"<|endoftext|>this one is definitely one to skip , even for horror movie fanatics .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
70,"<|endoftext|>for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
71,"<|endoftext|>exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
72,"<|endoftext|>uses high comedy to evoke surprising poignance .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
73,"<|endoftext|>one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
74,"<|endoftext|>a string of rehashed sight gags based in insipid vulgarity .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
75,"<|endoftext|>among the year 's most intriguing explorations of alientation .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
76,"<|endoftext|>the movie fails to live up to the sum of its parts .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
77,"<|endoftext|>the son 's room is a triumph of gentility that earns its moments of pathos .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
78,"<|endoftext|>there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
79,"<|endoftext|>this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
80,"<|endoftext|>the draw ( for `` big bad love '' ) is a solid performance by arliss howard .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
81,"<|endoftext|>green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
82,"<|endoftext|>it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
83,"<|endoftext|>though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
84,"<|endoftext|>the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
85,"<|endoftext|>the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
86,"<|endoftext|>the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
87,"<|endoftext|>jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
88,"<|endoftext|>fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
89,"<|endoftext|>we know the plot 's a little crazy , but it held my interest from start to finish .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
90,"<|endoftext|>it 's a scattershot affair , but when it hits its mark it 's brilliant .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive .TheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
91,"<|endoftext|>hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
92,"<|endoftext|>you wo n't like roger , but you will quickly recognize him .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
93,"<|endoftext|>if steven soderbergh 's ` solaris ' is a failure it is a glorious failure .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
94,"<|endoftext|>byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
95,"<|endoftext|>this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
96,"<|endoftext|>it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
97,"<|endoftext|>no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
98,"<|endoftext|>on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
99,"<|endoftext|>why make a documentary about these marginal historical figures ?  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative.TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
,,,,,,
,,,,,,
,,37,,,,